,File_Path,Filename,Dataset,Class,Hive,Stratify_Key
95,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_23h30_HIVE-3631_Active.wav,07-09-2022_23h30_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
96,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_23h45_HIVE-6_Active.wav,07-09-2022_23h45_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
97,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_00h30_HIVE-3690_Active.wav,11-07-2022_00h30_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
98,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_01h15_HIVE-3640_Active.wav,11-07-2022_01h15_HIVE-3640_Active.wav,FRDR,Active,HIVE-3640,Active_HIVE-3640
99,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_01h45_HIVE-3693_Active.wav,11-07-2022_01h45_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
100,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_09h15_HIVE-3693_Active.wav,11-07-2022_09h15_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
101,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_09h30_HIVE-3690_Active.wav,11-07-2022_09h30_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
102,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_09h30_HIVE-6_Queenless.wav,11-07-2022_09h30_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
103,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_09h45_HIVE-3640_Active.wav,11-07-2022_09h45_HIVE-3640_Active.wav,FRDR,Active,HIVE-3640,Active_HIVE-3640
104,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_18h15_HIVE-3690_Active.wav,11-07-2022_18h15_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
105,dataset/urban-frdr/audio_2022_all_chunk\11-07-2022_18h30_HIVE-6_Queenless.wav,11-07-2022_18h30_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
106,dataset/urban-frdr/audio_2022_all_chunk\20-06-2022_10h30_HIVE-3640_Active.wav,20-06-2022_10h30_HIVE-3640_Active.wav,FRDR,Active,HIVE-3640,Active_HIVE-3640
107,dataset/urban-frdr/audio_2022_all_chunk\20-06-2022_11h00_HIVE-3640_Active.wav,20-06-2022_11h00_HIVE-3640_Active.wav,FRDR,Active,HIVE-3640,Active_HIVE-3640
108,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_03h15_HIVE-6_Active.wav,21-09-2022_03h15_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
109,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_04h00_HIVE-3691_Active.wav,21-09-2022_04h00_HIVE-3691_Active.wav,FRDR,Active,HIVE-3691,Active
110,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_06h45_HIVE-3628_Active.wav,21-09-2022_06h45_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
111,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_07h30_HIVE-3691_Active.wav,21-09-2022_07h30_HIVE-3691_Active.wav,FRDR,Active,HIVE-3691,Active
112,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_08h15_HIVE-6_Active.wav,21-09-2022_08h15_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
113,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_18h15_HIVE-3628_Active.wav,21-09-2022_18h15_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
114,dataset/urban-frdr/audio_2022_all_chunk\21-09-2022_18h30_HIVE-3631_Active.wav,21-09-2022_18h30_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
115,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_00h15_HIVE-6_Active.wav,24-08-2022_00h15_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
116,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_00h30_HIVE-3628_Infested.wav,24-08-2022_00h30_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
117,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_00h30_HIVE-3631_Active.wav,24-08-2022_00h30_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
118,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_00h45_HIVE-3691_Infested.wav,24-08-2022_00h45_HIVE-3691_Infested.wav,FRDR,Infested,HIVE-3691,Infested
119,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_00h45_HIVE-6_Active.wav,24-08-2022_00h45_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
120,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_03h30_HIVE-3628_Infested.wav,24-08-2022_03h30_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
121,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_04h00_HIVE-3628_Infested.wav,24-08-2022_04h00_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
122,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_04h00_HIVE-6_Active.wav,24-08-2022_04h00_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
123,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_07h15_HIVE-3631_Active.wav,24-08-2022_07h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
124,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_07h30_HIVE-6_Active.wav,24-08-2022_07h30_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
125,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_09h30_HIVE-3628_Infested.wav,24-08-2022_09h30_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
126,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_12h00_HIVE-3628_Infested.wav,24-08-2022_12h00_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
127,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_12h30_HIVE-3628_Infested.wav,24-08-2022_12h30_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
128,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_12h30_HIVE-6_Active.wav,24-08-2022_12h30_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
129,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_12h45_HIVE-3631_Active.wav,24-08-2022_12h45_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
130,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_20h00_HIVE-3628_Infested.wav,24-08-2022_20h00_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
131,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_20h00_HIVE-3693_Infested.wav,24-08-2022_20h00_HIVE-3693_Infested.wav,FRDR,Infested,HIVE-3693,Infested_HIVE-3693
132,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_20h00_HIVE-6_Active.wav,24-08-2022_20h00_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
133,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_20h15_HIVE-3631_Active.wav,24-08-2022_20h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
134,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_22h00_HIVE-3628_Infested.wav,24-08-2022_22h00_HIVE-3628_Infested.wav,FRDR,Infested,HIVE-3628,Infested
135,dataset/urban-frdr/audio_2022_all_chunk\24-08-2022_23h30_HIVE-3693_Infested.wav,24-08-2022_23h30_HIVE-3693_Infested.wav,FRDR,Infested,HIVE-3693,Infested_HIVE-3693
